tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,genre1,genre2,genre3,url,averageRating,numVotes,metascore,country,primary_language,color,budget,opening_weekend_usa,gross_usa,cumulative_worldwide,tagline,summary,image_url
tt0010323,movie,The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,0,1920,,76.0,"Fantasy,Horror,Mystery",Fantasy,Horror,Mystery,https://www.imdb.com/title/tt0010323,8.1,57097,,Germany,None,Black and White,"$18,000",,"$8,811","$8,811",You must become Caligari.,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","https://m.media-amazon.com/images/M/MV5BNWJiNGJiMTEtMGM3OC00ZWNlLTgwZTgtMzdhNTRiZjk5MTQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY268_CR3,0,182,268_AL_.jpg"
tt0012349,movie,The Kid,The Kid,0,1921,,68.0,"Comedy,Drama,Family",Comedy,Drama,Family,https://www.imdb.com/title/tt0012349,8.3,112377,,USA,None,Black and White,"$250,000",,,"$26,916",This is the great film he has been working on for a whole year,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.","https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0013442,movie,Nosferatu,"Nosferatu, eine Symphonie des Grauens",0,1922,,94.0,"Fantasy,Horror",Fantasy,Horror,,https://www.imdb.com/title/tt0013442,7.9,88440,,Germany,None,Black and White,,,,"$19,054",A thrilling mystery masterpiece - a chilling psycho-drama of blood-lust.,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,"https://m.media-amazon.com/images/M/MV5BMTAxYjEyMTctZTg3Ni00MGZmLWIxMmMtOGM2NTFiY2U3MmExXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,,45.0,"Action,Comedy,Romance",Action,Comedy,Romance,https://www.imdb.com/title/tt0015324,8.2,41511,,USA,None,Black and White,,,"$977,375",,every inch of footage holds such a laugh!,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0015648,movie,Battleship Potemkin,Bronenosets Potemkin,0,1925,,75.0,"Drama,History,Thriller",Drama,History,Thriller,https://www.imdb.com/title/tt0015648,8.0,52800,97,Soviet Union,None,Black and White,,"$5,641,","$51,198","$61,389",The Sensational Russian Film which is astounding all Europe,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","https://m.media-amazon.com/images/M/MV5BMTEyMTQzMjQ0MTJeQTJeQWpwZ15BbWU4MDcyMjg4OTEx._V1_UY268_CR4,0,182,268_AL_.jpg"
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,,95.0,"Adventure,Comedy,Drama",Adventure,Comedy,Drama,https://www.imdb.com/title/tt0015864,8.2,100312,,USA,None,Black and White,"$923,000",,,"$26,916","""The Picture I Want to Be Remembered by."" -Charlie Chaplin. (Print Ad- Calgary Daily Herald, ((Calgary, Alta.)) 30 December 1925)",A prospector goes to the Klondike in search of gold and finds it and more.,"https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR7,0,182,268_AL_.jpg"
tt0017136,movie,Metropolis,Metropolis,0,1927,,153.0,"Drama,Sci-Fi",Drama,Sci-Fi,,https://www.imdb.com/title/tt0017136,8.3,159189,98,Germany,German,Black and White,"DEM6,000,000","$19,386,","$1,236,166","$1,349,711","The most amazing picture ever made. Pictures a city one thousand years from now. (Print Ad- Binghamton Press, ((Binghamton, NY)) 3 January 1928)","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0017925,movie,The General,The General,0,1926,,67.0,"Action,Adventure,Comedy",Action,Adventure,Comedy,https://www.imdb.com/title/tt0017925,8.1,80619,,USA,None,Black and White,"$750,000",,,,"Buster drives ""The General"" to trainload of laughter. (Trade paper ad).","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0018455,movie,Sunrise,Sunrise: A Song of Two Humans,0,1927,,94.0,"Drama,Romance",Drama,Romance,,https://www.imdb.com/title/tt0018455,8.1,46716,,USA,English,Black and White,"$200,000",,,"$121,107","THE SCREEN MASTERPIECE OF 1927 (Print Ad- New York Sun, ((New York NY)) 17 December 1927)",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,"https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0018773,movie,The Circus,The Circus,0,1928,,72.0,"Comedy,Romance",Comedy,Romance,,https://www.imdb.com/title/tt0018773,8.1,29905,90,USA,None,Black and White,"$900,000",,,"$26,916","You've waited two years for this one, but oh boy---here it comes---the greatest comedy of all time! It's a circus! Positively the greatest show of mirth!",The Tramp finds work and the girl of his dreams at a circus.,"https://m.media-amazon.com/images/M/MV5BM2QwYWQ0MWMtNzcwOC00N2Q2LWE1MDEtZmQxZjhiM2U1YzFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
