nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000001,Fred Astaire,1899.0,1987.0,"soundtrack,actor,miscellaneous","tt0053137,tt0031983,tt0072308,tt0050419"
nm0000002,Lauren Bacall,1924.0,2014.0,"actress,soundtrack","tt0038355,tt0037382,tt0117057,tt0071877"
nm0000003,Brigitte Bardot,1934.0,,"actress,soundtrack,music_department","tt0059956,tt0054452,tt0049189,tt0057345"
nm0000004,John Belushi,1949.0,1982.0,"actor,soundtrack,writer","tt0078723,tt0080455,tt0077975,tt0072562"
nm0000005,Ingmar Bergman,1918.0,2007.0,"writer,director,actor","tt0083922,tt0050986,tt0060827,tt0050976"
nm0000006,Ingrid Bergman,1915.0,1982.0,"actress,soundtrack,producer","tt0038787,tt0036855,tt0038109,tt0034583"
nm0000007,Humphrey Bogart,1899.0,1957.0,"actor,soundtrack,producer","tt0043265,tt0040897,tt0034583,tt0033870"
nm0000008,Marlon Brando,1924.0,2004.0,"actor,soundtrack,director","tt0078788,tt0070849,tt0068646,tt0047296"
nm0000009,Richard Burton,1925.0,1984.0,"actor,soundtrack,producer","tt0059749,tt0061184,tt0057877,tt0087803"
nm0000010,James Cagney,1899.0,1986.0,"actor,soundtrack,director","tt0029870,tt0035575,tt0042041,tt0031867"
nm0000011,Gary Cooper,1901.0,1961.0,"actor,soundtrack,producer","tt0027996,tt0034167,tt0035896,tt0044706"
nm0000012,Bette Davis,1908.0,1989.0,"actress,soundtrack,make_up_department","tt0035140,tt0042192,tt0056687,tt0031210"
nm0000013,Doris Day,1922.0,2019.0,"soundtrack,actress,producer","tt0048317,tt0060463,tt0054084,tt0053172"
nm0000014,Olivia de Havilland,1916.0,2020.0,"actress,soundtrack","tt0040806,tt0031381,tt0029843,tt0041452"
nm0000015,James Dean,1931.0,1955.0,"actor,miscellaneous","tt0048028,tt0043228,tt0048545,tt0049261"
nm0000016,Georges Delerue,1925.0,1992.0,"composer,soundtrack,music_department","tt0069946,tt0096320,tt0091763,tt0057345"
nm0000017,Marlene Dietrich,1901.0,1992.0,"soundtrack,actress,music_department","tt0055031,tt0052311,tt0051201,tt0021156"
nm0000018,Kirk Douglas,1916.0,2020.0,"actor,producer,soundtrack","tt0054331,tt0043338,tt0052365,tt0049456"
nm0000019,Federico Fellini,1920.0,1993.0,"writer,director,assistant_director","tt0071129,tt0056801,tt0050783,tt0053779"
nm0000020,Henry Fonda,1905.0,1982.0,"actor,producer,soundtrack","tt0051207,tt0050083,tt0032551,tt0082846"
nm0000021,Joan Fontaine,1917.0,2013.0,"actress,soundtrack,producer","tt0032976,tt0034248,tt0039504,tt0040536"
nm0000022,Clark Gable,1901.0,1960.0,"actor,soundtrack,producer","tt0023382,tt0026752,tt0025316,tt0031381"
nm0000023,Judy Garland,1922.0,1969.0,"soundtrack,actress","tt0032138,tt0055031,tt0047522,tt0037059"
nm0000024,John Gielgud,1904.0,2000.0,"actor,writer,director","tt0045943,tt0117631,tt0071877,tt0082031"
nm0000025,Jerry Goldsmith,1929.0,2004.0,"music_department,soundtrack,composer","tt0119488,tt0077269,tt0117731,tt0112715"
nm0000026,Cary Grant,1904.0,1986.0,"actor,soundtrack,producer","tt0048728,tt0032599,tt0056923,tt0053125"
nm0000027,Alec Guinness,1914.0,2000.0,"actor,soundtrack,writer","tt0051739,tt0050212,tt0076759,tt0041546"
nm0000028,Rita Hayworth,1918.0,1987.0,"actress,soundtrack,producer","tt0040525,tt0036723,tt0038559,tt0040552"
nm0000030,Audrey Hepburn,1929.0,1993.0,"actress,soundtrack","tt0046250,tt0054698,tt0056923,tt0058385"
nm0000031,Katharine Hepburn,1907.0,2003.0,"actress,soundtrack,writer","tt0032904,tt0082846,tt0063227,tt0043265"
nm0000032,Charlton Heston,1923.0,2008.0,"actor,director,writer","tt0063442,tt0049833,tt0070723,tt0052618"
nm0000033,Alfred Hitchcock,1899.0,1980.0,"director,producer,actor","tt0053125,tt0051207,tt0052357,tt0054215"
nm0000034,William Holden,1918.0,1981.0,"actor,soundtrack","tt0072308,tt0046359,tt0043014,tt0074958"
nm0000035,James Horner,1953.0,2015.0,"music_department,soundtrack,composer","tt0120746,tt0120647,tt0499549,tt0120338"
nm0000036,Buster Keaton,1895.0,1966.0,"actor,writer,director","tt0015324,tt0016332,tt0017925,tt0019421"
nm0000037,Gene Kelly,1912.0,1996.0,"soundtrack,actor,director","tt0043278,tt0053946,tt0045152,tt0041716"
nm0000038,Grace Kelly,1929.0,1982.0,"actress,soundtrack","tt0047396,tt0046912,tt0048728,tt0044706"
nm0000039,Deborah Kerr,1921.0,2007.0,"actress,soundtrack","tt0045793,tt0049408,tt0050105,tt0039192"
nm0000040,Stanley Kubrick,1928.0,1999.0,"director,writer,producer","tt0062622,tt0066921,tt0120663,tt0072684"
nm0000041,Akira Kurosawa,1910.0,1998.0,"writer,director,assistant_director","tt0047478,tt0089881,tt0051808,tt0080979"
nm0000042,Alan Ladd,1913.0,1964.0,"actor,producer,camera_department","tt0039056,tt0038369,tt0046303,tt0035432"
nm0000044,Burt Lancaster,1913.0,1994.0,"actor,producer,miscellaneous","tt0050468,tt0045793,tt0080388,tt0051036"
nm0000045,Bruce Lee,1940.0,1973.0,"actor,writer,miscellaneous","tt0068767,tt0070034,tt0068935,tt0077594"
nm0000046,Vivien Leigh,1913.0,1967.0,"actress,soundtrack,writer","tt0033238,tt0034272,tt0044081,tt0031381"
nm0000048,Peter Lorre,1904.0,1964.0,"actor,soundtrack,writer","tt0022100,tt0033870,tt0034583,tt0036613"
nm0000049,Henry Mancini,1924.0,1994.0,"music_department,soundtrack,composer","tt0057413,tt0085101,tt0054698,tt0383216"
nm0000050,Groucho Marx,1890.0,1977.0,"soundtrack,actor,writer","tt0022158,tt0028772,tt0026778,tt0023969"
nm0000051,James Mason,1909.0,1984.0,"actor,producer,writer","tt0056193,tt0053125,tt0046672,tt0047522"
nm0000052,Marcello Mastroianni,1924.0,1996.0,"actor,producer,soundtrack","tt0053779,tt0056801,tt0076085,tt0110907"
nm0000053,Robert Mitchum,1917.0,1997.0,"actor,soundtrack,producer","tt0039689,tt0048424,tt0055824,tt0056197"
nm0000054,Marilyn Monroe,1926.0,1962.0,"soundtrack,actress,writer","tt0053291,tt0048605,tt0050861,tt0045810"
nm0000055,Alfred Newman,1901.0,1970.0,"music_department,composer,soundtrack","tt0434409,tt0042192,tt0056085,tt0065377"
nm0000056,Paul Newman,1925.0,2008.0,"actor,producer,director","tt0061512,tt0054997,tt0084855,tt0257044"
nm0000057,David Niven,1910.0,1983.0,"actor,producer,soundtrack","tt0074937,tt0061452,tt0052182,tt0057413"
nm0000058,Maureen O'Hara,1920.0,2015.0,"actress,soundtrack","tt0039628,tt0041149,tt0045061,tt0055277"
nm0000059,Laurence Olivier,1907.0,1989.0,"actor,producer,director","tt0032976,tt0077269,tt0054331,tt0069281"
nm0000060,Gregory Peck,1916.0,2003.0,"actor,producer,soundtrack","tt0041996,tt0077269,tt0046250,tt0056592"
nm0000061,Tyrone Power,1914.0,1958.0,"actor,soundtrack,producer","tt0043959,tt0041767,tt0032762,tt0051201"
nm0000063,Anthony Quinn,1915.0,2001.0,"actor,producer,soundtrack","tt0056172,tt0057831,tt0049456,tt0074896"
nm0000064,Edward G. Robinson,1893.0,1973.0,"actor,soundtrack,writer","tt0036775,tt0040506,tt0021079,tt0049833"
nm0000065,Nino Rota,1911.0,1979.0,"composer,soundtrack,music_department","tt0071562,tt0056801,tt0068646,tt0063518"
