tconst,ordering,nconst,category,job,characters
tt0010323,10,nm0110640,composer,,
tt0010323,1,nm0470328,actor,,"[""Dr. Caligari""]"
tt0010323,2,nm0891998,actor,,"[""Cesare""]"
tt0010323,3,nm0270415,actor,,"[""Franzis""]"
tt0010323,4,nm0196820,actress,,"[""Jane Olsen""]"
tt0010323,5,nm0927468,director,,
tt0010323,6,nm0562346,writer,written by,
tt0010323,7,nm0417917,writer,written by,
tt0010323,8,nm0031350,composer,,
tt0010323,9,nm0005959,composer,,
tt0012349,10,nm0088471,actor,,"[""His Assistant""]"
tt0012349,1,nm0000122,actor,,"[""A Tramp""]"
tt0012349,2,nm0701012,actress,,"[""The Woman""]"
tt0012349,3,nm0001067,actor,,"[""The Child""]"
tt0012349,4,nm0588033,actor,,"[""The Man""]"
tt0012349,5,nm0042317,actor,,"[""Man in Shelter""]"
tt0012349,6,nm0047800,actress,,"[""Bride""]"
tt0012349,7,nm0048798,actress,,"[""Slum Nurse""]"
tt0012349,8,nm0074788,actor,,"[""Professor Guido"",""Night Shelter Keeper""]"
tt0012349,9,nm0080930,actor,,"[""Orphan Asylum Driver""]"
tt0013442,10,nm0002302,composer,,
tt0013442,1,nm0775180,actor,,"[""Graf Orlok""]"
tt0013442,2,nm0334603,actor,,"[""Knock - ein Häusermakler""]"
tt0013442,3,nm0903194,actor,,"[""Hutter""]"
tt0013442,4,nm0775659,actress,,"[""Ellen - seine Frau""]"
tt0013442,5,nm0003638,director,,
tt0013442,6,nm0301961,writer,screen play,
tt0013442,7,nm0831290,writer,"based on the novel: ""Dracula""",
tt0013442,8,nm0225868,producer,producer,
tt0013442,9,nm0336057,producer,producer,
tt0015324,10,nm0504380,cinematographer,,
tt0015324,1,nm0000036,actor,,"[""Projectionist"",""Sherlock, Jr.""]"
tt0015324,2,nm0570230,actress,,"[""The Girl""]"
tt0015324,3,nm0444172,actor,,"[""The Girl's Father"",""Man on Film Screen""]"
tt0015324,4,nm0175068,actor,,"[""The Hired Man"",""The Butler""]"
tt0015324,5,nm0369841,writer,story,
tt0015324,6,nm0593477,writer,story,
tt0015324,7,nm0115669,writer,story,
tt0015324,8,nm3816287,composer,,
tt0015324,9,nm0396327,cinematographer,,
tt0015648,10,nm0019886,composer,,
tt0015648,1,nm0031446,actor,,"[""Grigory Vakulinchuk""]"
tt0015648,2,nm0058290,actor,,"[""Commander Golikov""]"
tt0015648,3,nm0017893,actor,,"[""Chief Officer Giliarovsky""]"
tt0015648,4,nm0090434,actor,,"[""Young Sailor Flogged While Sleeping""]"
tt0015648,5,nm0001178,director,,
tt0015648,6,nm0012810,writer,script by,
tt0015648,7,nm0038595,writer,intertitles,
tt0015648,8,nm0872308,writer,intertitles,
tt0015648,9,nm1206447,producer,producer,
tt0015864,10,nm1027682,actor,,"[""Eskimo Child""]"
tt0015864,1,nm0000122,actor,,"[""The Lone Prospector""]"
tt0015864,2,nm0841501,actor,,"[""Big Jim McKay""]"
tt0015864,3,nm0615306,actor,,"[""Black Larsen""]"
tt0015864,4,nm0074788,actor,,"[""Hank Curtis""]"
tt0015864,5,nm0675356,composer,,
tt0015864,6,nm0005906,cinematographer,,
tt0015864,7,nm0906618,actor,,"[""Jack Cameron""]"
tt0015864,8,nm0354913,actress,,"[""Georgia""]"
tt0015864,9,nm1033900,actor,,"[""Man in Dance Hall""]"
tt0017136,10,nm0403288,composer,,
tt0017136,1,nm0375609,actress,,"[""Maria"",""Maschinenmensch"",""The Machine Man""]"
tt0017136,2,nm0002154,actor,,"[""Johann (Joh) Fredersen""]"
tt0017136,3,nm0297054,actor,,"[""Freder Fredersen - Joh Fredersens Sohn""]"
tt0017136,4,nm0459030,actor,,"[""Erfinder C.A. Rotwang"",""The Inventor""]"
tt0017136,5,nm0000485,director,,
tt0017136,6,nm0902376,writer,screenplay,
tt0017136,7,nm0690143,producer,producer,
tt0017136,8,nm0923118,composer,,
tt0017136,9,nm2111404,composer,,
tt0017925,10,nm1193626,composer,,
tt0017925,1,nm0000036,actor,,"[""Johnnie Gray""]"
tt0017925,2,nm0533045,actress,,"[""Annabelle Lee""]"
tt0017925,3,nm0147070,actor,,"[""Captain Anderson""]"
tt0017925,4,nm0267650,actor,,"[""General Thatcher""]"
tt0017925,5,nm0115669,director,,
tt0017925,6,nm0090213,writer,adapted by,
tt0017925,7,nm0807667,writer,adapted by,
tt0017925,8,nm0685904,writer,"book ""Daring and Suffering: a History of the Great Railroad Adventure""",
tt0017925,9,nm0809548,writer,,
tt0018455,10,nm0003546,cinematographer,,
tt0018455,1,nm0639563,actor,,"[""The Man""]"
tt0018455,2,nm0310980,actress,,"[""The Wife""]"
tt0018455,3,nm0515272,actress,,"[""The Woman From the City""]"
tt0018455,4,nm0743017,actress,,"[""The Maid""]"
tt0018455,5,nm0003638,director,,
tt0018455,6,nm0562346,writer,scenario,
tt0018455,7,nm0837183,writer,from an original theme by,
tt0018455,8,nm0385012,writer,titles,
tt0018455,9,nm0129721,writer,titles,
tt0018773,10,nm0614730,actor,,"[""A Pickpocket""]"
tt0018773,1,nm0000122,actor,,"[""A Tramp""]"
tt0018773,2,nm0448224,actress,,"[""His Step-Daughter Merna - A Circus Rider""]"
tt0018773,3,nm0305087,actor,,"[""The Circus Proprietor and Ring Master""]"
tt0018773,4,nm0188357,actor,,"[""Rex - A Tight Rope Walker""]"
tt0018773,5,nm0005906,cinematographer,,
tt0018773,6,nm0204639,actor,,"[""A Magician""]"
tt0018773,7,nm0074788,actor,,"[""An Old Clown""]"
tt0018773,8,nm0761866,actor,,"[""The Head Property Man""]"
tt0018773,9,nm0709466,actor,,"[""An Assistant Property Man""]"
tt0019254,1,nm0266029,actress,,"[""Jeanne d'Arc""]"
tt0019254,2,nm0798564,actor,,"[""Évêque Pierre Cauchon (Bishop Pierre Cauchon)""]"
tt0019254,3,nm0075551,actor,,"[""Jean d'Estivet""]"
tt0019254,4,nm0776914,actor,,"[""Nicolas Loyseleur""]"
tt0019254,5,nm0003433,director,,
tt0019254,6,nm0217865,writer,writer,
tt0019254,7,nm1224245,composer,,
tt0019254,8,nm0773138,composer,,
tt0019254,9,nm0005789,cinematographer,,
tt0020629,10,nm0837989,writer,supervising story chief,
tt0020629,1,nm0000817,actor,,"[""Paul""]"
tt0020629,2,nm0938464,actor,,"[""Kat""]"
tt0020629,3,nm0942046,actor,,"[""Himmelstoss""]"
tt0020629,4,nm0524803,actor,,"[""Kantorek""]"
tt0020629,5,nm0587277,director,,
tt0020629,6,nm0718871,writer,by,
tt0020629,7,nm0027173,writer,adaptation & dialogue,
tt0020629,8,nm0007973,writer,screen play,
tt0020629,9,nm0028636,writer,adaptation,
tt0021749,1,nm0000122,actor,,"[""A Tramp""]"
tt0021749,2,nm0156039,actress,,"[""A Blind Girl""]"
tt0021749,3,nm5681967,actress,,"[""The Blind Girl's Grandmother""]"
tt0021749,4,nm0616729,actor,,"[""An Eccentric Millionaire""]"
tt0021749,5,nm0139714,writer,,
tt0021749,6,nm0188357,writer,,
tt0021749,7,nm0689661,cinematographer,,
tt0021749,8,nm0005906,cinematographer,,
tt0021814,10,nm0287124,writer,play script,
tt0021814,1,nm0000509,actor,,"[""Count Dracula""]"
tt0021814,2,nm0151377,actress,,"[""Mina Seward""]"
tt0021814,3,nm0543115,actor,,"[""John Harker""]"
tt0021814,4,nm0296859,actor,,"[""Renfield""]"
tt0021814,5,nm0115218,director,,
tt0021814,6,nm0005713,director,,
tt0021814,7,nm0831290,writer,by,
tt0021814,8,nm0213019,writer,from the play adapted by,
tt0021814,9,nm0049721,writer,from the play adapted by,
tt0021884,10,nm0267020,writer,screen play,
tt0021884,1,nm0166972,actor,,"[""Henry Frankenstein""]"
tt0021884,2,nm0164883,actress,,"[""Elizabeth""]"
tt0021884,3,nm0000472,actor,,"[""The Monster""]"
tt0021884,4,nm0092900,actor,,"[""Victor Moritz""]"
tt0021884,5,nm0001843,director,,
tt0021884,6,nm0049721,writer,based upon the composition by,
tt0021884,7,nm0791217,writer,from the novel by,
tt0021884,8,nm0916811,writer,adapted from the play by,
tt0021884,9,nm0287124,writer,screen play,
tt0022100,1,nm0000048,actor,,"[""Hans Beckert""]"
tt0022100,2,nm0927145,actress,,"[""Frau Beckmann""]"
tt0022100,3,nm0484737,actress,,"[""Elsie Beckmann""]"
